iter	Passed	Remaining
0	2	2658
1	3	1599
2	3	1276
3	4	1090
4	6	1238
5	8	1351
6	10	1540
7	11	1433
8	12	1326
9	13	1380
10	15	1384
11	16	1320
12	16	1267
13	17	1223
14	17	1180
15	18	1134
16	19	1100
17	22	1216
18	22	1181
19	28	1401
20	30	1437
21	34	1525
22	36	1561
23	37	1514
24	37	1472
25	40	1504
26	40	1465
27	41	1432
28	41	1397
29	42	1371
30	43	1352
31	44	1333
32	44	1317
33	45	1295
34	46	1277
35	46	1253
36	47	1238
37	48	1222
38	48	1206
39	49	1192
40	50	1174
41	50	1157
42	51	1146
43	52	1136
44	53	1128
45	53	1119
46	54	1110
47	55	1101
48	56	1092
49	57	1084
50	57	1074
51	58	1063
52	58	1053
53	63	1112
54	64	1100
55	67	1130
56	67	1121
57	68	1109
58	71	1141
59	72	1136
60	73	1126
61	73	1113
62	74	1104
63	76	1120
64	77	1110
65	77	1102
66	78	1094
67	79	1084
68	79	1076
69	80	1067
70	80	1057
71	81	1048
72	82	1044
73	83	1038
74	84	1043
75	85	1037
76	86	1031
77	86	1024
78	87	1017
79	87	1010
80	89	1014
81	91	1025
82	93	1030
83	93	1022
84	94	1020
85	95	1013
86	96	1010
87	98	1021
88	99	1015
89	100	1011
90	100	1007
91	102	1011
92	103	1011
93	105	1020
94	106	1014
95	107	1008
96	108	1007
97	109	1004
98	110	1001
99	113	1019
100	113	1013
101	114	1009
102	115	1009
103	116	1004
104	117	999
105	117	994
106	119	995
107	121	1007
108	122	1004
109	124	1008
110	125	1006
111	126	1000
112	127	1004
113	128	1000
114	129	995
115	131	1004
116	135	1021
117	135	1015
118	136	1012
119	138	1013
120	138	1008
121	139	1004
122	142	1018
123	144	1017
124	144	1012
125	145	1007
126	145	1002
127	146	997
128	147	993
129	147	989
130	148	984
131	148	979
132	149	975
133	150	972
134	151	970
135	152	967
136	153	964
137	153	958
138	154	955
139	155	952
140	155	950
141	156	946
142	157	944
143	158	939
144	158	936
145	159	932
146	160	930
147	160	925
148	161	922
149	162	920
150	162	915
151	163	912
152	164	909
153	165	908
154	166	905
155	166	902
156	167	899
157	168	896
158	168	892
159	169	890
160	170	887
161	171	884
162	171	881
163	172	879
164	173	876
165	174	874
166	174	871
167	175	869
168	176	865
169	176	862
170	177	858
171	177	856
172	178	853
173	179	851
174	180	849
175	180	846
176	181	844
177	182	842
178	183	840
179	183	837
180	184	834
181	185	832
182	186	830
183	186	828
184	187	826
185	188	823
186	189	821
187	189	818
188	190	816
189	191	814
190	191	811
191	192	809
192	192	806
193	193	804
194	194	802
195	195	800
196	195	798
197	196	795
198	196	791
199	197	789
200	198	788
201	199	786
202	199	784
203	200	782
204	201	779
205	201	777
206	202	774
207	202	772
208	203	770
209	204	768
210	204	766
211	205	764
212	206	762
213	206	760
214	207	758
215	208	756
216	209	754
217	209	752
218	210	749
219	210	747
220	211	745
221	212	743
222	212	742
223	213	740
224	214	738
225	215	737
226	216	735
227	216	733
228	217	731
229	218	730
230	218	728
231	219	727
232	220	725
233	221	723
234	221	721
235	222	720
236	223	718
237	223	716
238	224	714
239	225	713
240	226	712
241	226	710
242	227	708
243	228	707
244	228	704
245	229	703
246	230	702
247	231	700
248	231	699
249	232	698
250	233	697
251	234	695
252	235	694
253	235	692
254	236	691
255	237	689
256	237	687
257	238	686
258	239	684
259	239	682
260	240	681
261	241	680
262	242	678
263	242	677
264	243	676
265	244	674
266	245	673
267	246	672
268	246	670
269	247	669
270	248	668
271	249	666
272	249	664
273	250	663
274	251	662
275	251	660
276	252	658
277	253	657
278	253	656
279	254	655
280	255	653
281	256	652
282	256	650
283	257	648
284	258	647
285	258	646
286	259	645
287	260	643
288	261	642
289	261	640
290	262	639
291	263	638
292	263	636
293	264	635
294	265	634
295	265	632
296	266	631
297	267	629
298	268	628
299	268	627
300	269	626
301	270	624
302	271	623
303	271	621
304	272	620
305	273	619
306	273	618
307	274	617
308	275	615
309	276	614
310	276	613
311	277	611
312	278	610
313	278	609
314	279	607
315	280	606
316	280	604
317	281	603
318	282	602
319	282	600
320	283	599
321	284	598
322	284	597
323	285	596
324	286	594
325	287	593
326	287	591
327	288	590
328	289	589
329	290	588
330	290	587
331	291	585
332	291	584
333	292	583
334	293	582
335	294	581
336	294	580
337	295	578
338	296	577
339	297	576
340	297	575
341	298	574
342	299	573
343	300	572
344	300	570
345	301	569
346	302	568
347	302	567
348	303	565
349	303	564
350	304	563
351	305	561
352	305	560
353	306	559
354	307	558
355	308	557
356	308	555
357	309	554
358	310	553
359	310	552
360	311	551
361	312	550
362	312	549
363	313	548
364	314	546
365	315	545
366	315	544
367	316	543
368	317	542
369	317	541
370	318	540
371	319	538
372	319	537
373	320	536
374	321	535
375	321	534
376	322	533
377	323	532
378	324	531
379	324	529
380	325	528
381	326	527
382	326	526
383	327	525
384	328	524
385	329	523
386	329	522
387	330	521
388	331	520
389	332	519
390	332	518
391	333	517
392	334	516
393	335	515
394	336	514
395	336	513
396	337	512
397	338	511
398	339	510
399	339	509
400	340	508
401	341	508
402	342	507
403	343	506
404	343	504
405	344	503
406	344	501
407	345	500
408	345	499
409	346	498
410	347	497
411	348	496
412	348	495
413	349	494
414	350	493
415	350	492
416	351	491
417	352	490
418	353	489
419	353	488
420	354	487
421	355	486
422	355	485
423	356	483
424	356	482
425	357	481
426	358	480
427	358	479
428	359	478
429	360	477
430	361	476
431	361	475
432	362	474
